tstamp,McLaren,Mercedes,Ferrari,Red Bull,Aston Martin,Audi
2025-12-08 05:58:52.364789,0.3563704000340904,0.32073336003068137,0.11059771035540736,0.06167949231359257,0.05345556000511356,0.0381825428607954
2025-12-08 06:01:11.509229,0.3563704000340904,0.32073336003068137,0.11059771035540736,0.06167949231359257,0.05345556000511356,0.0381825428607954
2025-12-08 06:05:00.144642,0.3563704000340904,0.32073336003068137,0.11059771035540736,0.06167949231359257,0.05345556000511356,0.0381825428607954
2025-12-08 06:05:50.709719,0.3563704000340904,0.32073336003068137,0.11059771035540736,0.06167949231359257,0.05345556000511356,0.0381825428607954
2025-12-08 07:05:11.601329,0.3563704000340904,0.32073336003068137,0.11059771035540736,0.06167949231359257,0.05345556000511356,0.0381825428607954
2025-12-09 07:05:16.099827,0.3563704000340904,0.32073336003068137,0.11059771035540736,0.06167949231359257,0.05345556000511356,0.0381825428607954
2025-12-10 07:05:11.586398,0.3563704000340904,0.32073336003068137,0.11059771035540736,0.06167949231359257,0.05345556000511356,0.0381825428607954
2025-12-11 07:05:13.177884,0.3563704000340904,0.32073336003068137,0.11059771035540736,0.06167949231359257,0.05345556000511356,0.0381825428607954
2025-12-12 07:05:12.754767,0.3563704000340904,0.32073336003068137,0.11059771035540736,0.06167949231359257,0.05345556000511356,0.0381825428607954
2025-12-12 18:00:19.294724,0.3563704000340904,0.32073336003068137,0.11059771035540736,0.06167949231359257,0.05345556000511356,0.0381825428607954
2025-12-13 07:05:12.378036,0.3563704000340904,0.32073336003068137,0.11059771035540736,0.06167949231359257,0.05345556000511356,0.0381825428607954
2025-12-14 07:05:15.654526,0.3563704000340904,0.32073336003068137,0.11059771035540736,0.06167949231359257,0.05345556000511356,0.0381825428607954
2025-12-15 07:05:09.416959,0.3563704000340904,0.32073336003068137,0.11059771035540736,0.06167949231359257,0.05345556000511356,0.0381825428607954
2025-12-16 07:05:10.220297,0.3563704000340904,0.32073336003068137,0.11059771035540736,0.06167949231359257,0.05345556000511356,0.0381825428607954
2025-12-17 07:05:15.393319,0.3563704000340904,0.32073336003068137,0.11059771035540736,0.06167949231359257,0.05345556000511356,0.0381825428607954
2025-12-18 07:05:11.739508,0.3563704000340904,0.32073336003068137,0.11059771035540736,0.06167949231359257,0.05345556000511356,0.0381825428607954
2025-12-19 07:05:13.647913,0.3563704000340904,0.32073336003068137,0.11059771035540736,0.06167949231359257,0.05345556000511356,0.0381825428607954
2025-12-20 07:05:15.256464,0.3563704000340904,0.32073336003068137,0.11059771035540736,0.06167949231359257,0.05345556000511356,0.0381825428607954
2025-12-21 07:05:14.635108,0.3563704000340904,0.32073336003068137,0.11059771035540736,0.06167949231359257,0.05345556000511356,0.0381825428607954
2025-12-22 07:05:12.268513,0.3563704000340904,0.32073336003068137,0.11059771035540736,0.06167949231359257,0.05345556000511356,0.0381825428607954
2025-12-23 07:05:12.560928,0.3563704000340904,0.32073336003068137,0.11059771035540736,0.06167949231359257,0.05345556000511356,0.0381825428607954
2025-12-24 07:05:13.514653,0.3563704000340904,0.32073336003068137,0.11059771035540736,0.06167949231359257,0.05345556000511356,0.0381825428607954
2025-12-25 07:05:12.579901,0.3563704000340904,0.32073336003068137,0.11059771035540736,0.06167949231359257,0.05345556000511356,0.0381825428607954
2025-12-26 07:05:14.830305,0.3563704000340904,0.32073336003068137,0.11059771035540736,0.06167949231359257,0.05345556000511356,0.0381825428607954
2025-12-27 07:05:11.341680,0.3563704000340904,0.32073336003068137,0.11059771035540736,0.06167949231359257,0.05345556000511356,0.0381825428607954
2025-12-28 07:05:12.320688,0.3563704000340904,0.32073336003068137,0.11059771035540736,0.06167949231359257,0.05345556000511356,0.0381825428607954
2025-12-29 07:05:14.236688,0.3563704000340904,0.32073336003068137,0.11059771035540736,0.06167949231359257,0.05345556000511356,0.0381825428607954
